Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Kirkland1978,US Gov Pubs,Gordon L. Kirkland; Jr.,1978,Population and community responses of small mammals to 2;4;5-T,USDA Forest Service Research Note; Pacific Northwest Forest and Range Experiment Station; PNW-314,NULL,NULL,NULL,6,A 13.79: PNW-314,4
Kirkland1999,JSTOR,Gordon L. Kirkland; Jr.; and James S. Findley,1999,A transcontinental comparison of forest small mammal assemblages: Northern New Mexico and southern Pennsylvania compared,Oikos,85,335,342,8,NULL,7
Konecny2009,Web of Science,Adam Konecny; Petr Koubek; Josef Bryja,2009,Indications of higher diversity and abundance of small rodents in human-influenced Sudanian savannah than in the Niakolo Koba  National Park (Senegal),African Journal of Ecology,48,718,726,9,NULL,4
Krystufek2007,Web of Science,Boris Krystufek; Werner Haberl; Rod M. Baxter,2007,Rodent assemblage in a habitat mosaic within the Valley Thicket vegetation of the Eastern Cape Province; South Africa,African Journal of Ecology,46,80,87,8,NULL,17
Kuttner2002,UMI,Benjamin George Kuttner,2002,Small mammal responses to clear-cut logging in boreal mixedwoods of northeastern Ontario: Forest age and disturbance type effects,University of Toronto,NULL,1,127,127,NULL,1
Kuznetsov2008,Web of Science,G. V. Kuznetsov and T. N. Filatova,2008,On the structure of rodent communities in tropical forests of southern Vietnam,Biology Bulletin,35,515,523,9,NULL,2
Lambert2003,BioOne,Thomas D. Lambert; Gregory H. Adler; C. Mailen Riveros; Lawrence Lopez; Rafael Ascaino; and John Terborgh,2003,Rodents on tropical land bridge islands,The Zoological Society of London,260,179,187,9,NULL,10
Lambert2004,UMI,Thomas Daniel Lambert,2004,Small mammals of the southeastern Amazon and the ecological consequences of selective logging,University of Toronto,NULL,1,152,152,NULL,1
Lambert2006,BioOne,Thomas D. Lambert; Jay R. Malcolm; and Barbara L. Zimmerman,2006,Amazonian small mammal abundances in relation to habitat structure and resource abundance,Journal of Mammalogy,87,766,776,11,NULL,1
Larkin2006,UMI,Jessica Larkin,2006,An evaluation of small mammal populations in the Las Vegas Wash,University of Nevada; Las Vegas,NULL,1,103,103,NULL,6
LaRosa2006,UMI,Gloria Dyana La Rosa,2006,Effects of vegetation structure on the habitat use of small terrestrial mammals at Camp Maxey; Texas,Stephen F. Austin State University,NULL,1,97,97,NULL,8
Larsen1978,Brown & Kurzius 1987,Eric Larsen,1978,Habitat partitioning among coexisting desert rodents: Two examples of species packing,Utah State University,NULL,NULL,NULL,44,NULL,12
Lasso1996,OBrien2009,C. Lasso; Rainer Hutterer; and A. Rial,1996,Records of shrews (Soricidae) from Equatorial Guinea; especially from Monte Alen National Park,Mammalia,60,69,76,8,NULL,1
Laurance1989,UMI,William Frederick Laurance,1989,Ecological impacts of tropical forest fragmentation on nonflying mammals and their habitats,University of California; Berkeley,NULL,1,482,482,NULL,2
Lawrence1996,UMI,Stephen W. Lawrence,1996,Demographic changes in small mammal populations on black spruce peatlands impacted by clearcut and careful-cut forest management practices,Laurentian University,NULL,1,141,141,NULL,4
Ledesma2003,UMI,Karim J. Ledesma,2003,Small mammal community of bamboo forests in the Peruvian Amazon,Florida Atlantic University,NULL,1,50,50,NULL,5
